,0
Annual return,0.30871913079460134
Cumulative returns,0.4315129064087535
Annual volatility,0.14612169651872972
Sharpe ratio,1.9206174752160845
Calmar ratio,3.3502865114637195
Stability,0.9301100381048696
Max drawdown,-0.09214708346234061
Omega ratio,1.3918322896545308
Sortino ratio,2.9174815663584166
Skew,
Kurtosis,
Tail ratio,1.042859582728299
Daily value at risk,-0.017295937134249376
