,0
Annual return,0.09598210139954566
Cumulative returns,0.12998136722120268
Annual volatility,0.14761618600796095
Sharpe ratio,0.6964832557756239
Calmar ratio,0.7996131287228924
Stability,0.7436669004915322
Max drawdown,-0.12003567469289073
Omega ratio,1.1232492335847881
Sortino ratio,0.9944630102201776
Skew,
Kurtosis,
Tail ratio,0.9266283754741638
Daily value at risk,-0.01818990638945635
