,0
Annual return,0.3030903007175867
Cumulative returns,0.4233095049866049
Annual volatility,0.1463622038050709
Sharpe ratio,1.888099623299325
Calmar ratio,3.6485482212562177
Stability,0.9376732737426732
Max drawdown,-0.08307148003466179
Omega ratio,1.3809795972547532
Sortino ratio,2.923927802599291
Skew,
Kurtosis,
Tail ratio,1.1996925860023093
Daily value at risk,-0.017343291624687365
